tag,doc_code,subtype_code,use_code,description,attribute,description_attr
PRELATIONSWITHPUBLISHER                           ,1,4,1,Relations with Publisher                          ,RELATIONSHIPTYPE                                  ,Relationship Type                                 
PLASTLITERARYACTIVITY                             ,0,0,1,Last Literary Activity                            ,                                                  ,                                                  
DATE_OF_ACCESS                                    ,5,0,0,                                                  ,EMENDED                                           ,                                                  
PAUTHORSHIP                                       ,0,0,1,Authorship                                        ,AUTHORNAMETYPE                                    ,Author Name Type                                  
PFIRSTLITERARYACTIVITY                            ,1,4,1,First Literary Activity                           ,                                                  ,                                                  
TSETTINGPLACE                                     ,0,0,1,Setting Place                                     ,                                                  ,                                                  
TIME                                              ,2,0,0,                                                  ,CERTAINTY                                         ,                                                  
RFICTIONALIZATION                                 ,1,4,1,Fictionalization                                  ,                                                  ,                                                  
PMATERIALCONDITIONS                               ,0,0,1,Material Conditions (of writing)                  ,                                                  ,                                                  
EMPLOYER                                          ,2,0,1,Employer                                          ,                                                  ,                                                  
RSHEINFLUENCED                                    ,1,4,1,She Influenced                                    ,                                                  ,                                                  
RS                                                ,1,4,1,Rs (names of vehicles)                            ,                                                  ,                                                  
DAY                                               ,1,5,0,                                                  ,VALUE                                             ,                                                  
TMOTIF                                            ,1,4,0,Motif                                             ,PROPOSEDALTERNATIVENAME                           ,                                                  
PLACE                                             ,2,0,1,Place                                             ,                                                  ,                                                  
SEASON                                            ,2,0,0,                                                  ,VALUE                                             ,                                                  
OCCASION                                          ,2,0,0,                                                  ,                                                  ,                                                  
TGENRE                                            ,1,5,1,Genre                                             ,GENRENAME                                         ,Genre Name                                        
STYLED                                            ,2,0,1,Styled (for courtesy titles)                      ,WROTEORPUBLISHEDAS                                ,Wrote or Published As                             
SIC                                               ,1,4,0,                                                  ,CORR                                              ,                                                  
AUTHOR_ROLE                                       ,5,0,0,                                                  ,LINK_TYPE                                         ,                                                  
DATE_OF_ACCESS                                    ,5,0,0,                                                  ,                                                  ,                                                  
SEASON                                            ,1,5,0,                                                  ,CERTAINTY                                         ,                                                  
L                                                 ,2,0,0,Line (of poetry)                                  ,                                                  ,                                                  
DATESTRUCT                                        ,1,5,0,                                                  ,CERTAINTY                                         ,                                                  
CHRONSTRUCT                                       ,1,4,0,Chronology Structure                              ,RELEVANCE2                                        ,Relevance2                                        
QUOTE                                             ,2,0,1,Quote                                             ,                                                  ,                                                  
AWARD                                             ,1,4,1,Award (educational)                               ,AWARDTYPE                                         ,Award Type                                        
DATESTRUCT                                        ,1,4,0,                                                  ,VALUE                                             ,                                                  
RS                                                ,0,0,0,Rs (names of vehicles)                            ,REG                                               ,                                                  
TGENREISSUE                                       ,1,4,1,Genre Issue                                       ,                                                  ,                                                  
ETHNICITY                                         ,2,0,1,Ethnicity                                         ,                                                  ,                                                  
TSETTINGPLACE                                     ,1,4,1,Setting Place                                     ,                                                  ,                                                  
NATIONALITY                                       ,1,4,1,Nationality                                       ,                                                  ,                                                  
DATESTRUCT                                        ,1,5,0,                                                  ,                                                  ,                                                  
CHRONSTRUCT                                       ,0,0,0,Chronology Structure                              ,CHRONCOLUMN1                                      ,Chronology Column1                                
SCHOOL                                            ,1,4,1,School                                            ,                                                  ,                                                  
DENOMINATION                                      ,1,4,1,Denomination                                      ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
MARRIAGE                                          ,2,0,1,Marriage                                          ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,4,0,Chronology Structure                              ,CHRONCOLUMN1                                      ,Chronology Column1                                
LOCATION                                          ,5,0,0,                                                  ,                                                  ,                                                  
AUTHORITY                                         ,0,0,0,                                                  ,                                                  ,                                                  
EMPH                                              ,2,0,0,                                                  ,                                                  ,                                                  
TTHEMETOPIC                                       ,0,0,1,Theme or Topic (treated in text)                  ,                                                  ,                                                  
DATESTRUCT                                        ,1,4,0,                                                  ,                                                  ,                                                  
REGION                                            ,1,5,1,"Region (county, province, etc.)                   ",                                                  ,                                                  
DAY                                               ,2,0,0,                                                  ,VALUE                                             ,                                                  
CHRONSTRUCT                                       ,1,5,0,Chronology Structure                              ,RESP                                              ,                                                  
TMOTIF                                            ,1,4,1,Motif                                             ,MOTIFNAME                                         ,Motif Name                                        
REGION                                            ,1,4,0,"Region (county, province, etc.)                   ",CURRENT                                           ,                                                  
POLITICALAFFILIATION                              ,1,4,1,Political Affiliation                             ,INVOLVEMENT                                       ,Involvement                                       
REGION                                            ,2,0,0,"Region (county, province, etc.)                   ",REG                                               ,                                                  
PSEUDONYM                                         ,2,0,0,Pseudonym                                         ,REG                                               ,                                                  
BIRTHNAME                                         ,2,0,1,Birth Name                                        ,                                                  ,                                                  
PCONTRACT                                         ,1,4,1,Contract                                          ,                                                  ,                                                  
CHRONSTRUCT                                       ,0,0,0,Chronology Structure                              ,RELEVANCE2                                        ,Relevance2                                        
SUBJECT                                           ,1,4,1,Subject (of study)                                ,                                                  ,                                                  
CHILDLESSNESS                                     ,1,4,1,Childlessness                                     ,                                                  ,                                                  
CHRONSTRUCT                                       ,0,0,0,Chronology Structure                              ,RESP                                              ,                                                  
BIBLIOGRAPHY_ENTRY                                ,5,0,0,                                                  ,WORKFORM                                          ,                                                  
RRECOGNITIONVALUE                                 ,1,4,1,Recognition Value                                 ,                                                  ,                                                  
PCONTRACT                                         ,0,0,1,Contract                                          ,                                                  ,                                                  
LEISUREANDSOCIETY                                 ,2,0,1,Leisure and Society                               ,                                                  ,                                                  
BIBCIT                                            ,2,0,0,Bibliographic Citation                            ,PLACEHOLDER                                       ,                                                  
PUBLICATIONSTMT                                   ,2,0,0,                                                  ,                                                  ,                                                  
SEXUALIDENTITY                                    ,2,0,1,Sexual Identity                                   ,                                                  ,                                                  
MONOGRAPHIC                                       ,5,0,0,                                                  ,                                                  ,                                                  
PATTITUDES                                        ,1,4,1,Attitudes (to writing or gender)                  ,                                                  ,                                                  
DATE_OF_PUBLICATION                               ,5,0,0,                                                  ,REG                                               ,                                                  
KEYWORDCLASS                                      ,1,4,0,Keyword                                           ,KEYWORDTYPE                                       ,                                                  
PLACE                                             ,5,0,1,Place                                             ,                                                  ,                                                  
ALTERNATE                                         ,5,0,0,                                                  ,REG                                               ,                                                  
DAY                                               ,1,5,0,                                                  ,                                                  ,                                                  
LANGUAGE                                          ,2,0,1,Language (within Cultural Formation)              ,                                                  ,                                                  
ADDRESS                                           ,2,0,1,Address (within place)                            ,                                                  ,                                                  
DATERANGE                                         ,0,0,0,                                                  ,CERTAINTY                                         ,                                                  
YEAR                                              ,2,0,0,                                                  ,VALUE                                             ,                                                  
PAUTHORSHIP                                       ,0,0,1,Authorship                                        ,                                                  ,                                                  
DEGREE                                            ,2,0,0,Degree                                            ,REG                                               ,                                                  
TSETTINGPLACE                                     ,1,4,1,Setting Place                                     ,SETTINGCLASS                                      ,Setting Class                                     
CLASS                                             ,2,0,1,Class                                             ,                                                  ,                                                  
CLASS                                             ,2,0,0,Class                                             ,HISTORICALTERMCONTEXTDATE                         ,Historical Term Context Date                      
OCCASION                                          ,0,0,0,                                                  ,                                                  ,                                                  
SEASON                                            ,1,4,0,                                                  ,                                                  ,                                                  
GEOGHERITAGE                                      ,2,0,0,Geographical Heritage                             ,HISTORICALTERMCONTEXTDATE                         ,Historical Term Context Date                      
PMODEOFPUBLICATION                                ,1,4,1,Mode of Publication                               ,                                                  ,                                                  
MARRIED                                           ,2,0,1,Married Name                                      ,WROTEORPUBLISHEDAS                                ,Wrote or Published As                             
URN                                               ,5,0,0,                                                  ,                                                  ,                                                  
QUOTE                                             ,1,5,1,Quote                                             ,                                                  ,                                                  
EDITION                                           ,5,0,0,                                                  ,                                                  ,                                                  
PAUTHORSHIP                                       ,0,0,1,Authorship                                        ,COLLABORATION                                     ,Collaboration                                     
SCHOLARNOTE                                       ,2,0,1,Scholarly note                                    ,                                                  ,                                                  
REGION                                            ,0,0,0,"Region (county, province, etc.)                   ",CURRENT                                           ,                                                  
SUBJECT                                           ,2,0,0,Subject (of study)                                ,REG                                               ,                                                  
PAUTHORSHIP                                       ,1,4,1,Authorship                                        ,                                                  ,                                                  
QUOTE                                             ,0,0,0,                                                  ,ID                                                ,                                                  
DATESTRUCT                                        ,1,5,0,                                                  ,CALENDAR                                          ,                                                  
KEYWORDCLASSES                                    ,1,4,0,                                                  ,                                                  ,                                                  
PLACENAME                                         ,1,5,1,Placename (e.g. building name)                    ,                                                  ,                                                  
POLITICALAFFILIATION                              ,1,4,1,Political Affiliation                             ,MEMBERSHIP                                        ,Membership                                        
TGENRE                                            ,1,4,0,Genre                                             ,PROPOSEDALTERNATIVENAME                           ,                                                  
AUTHOR_ROLE                                       ,5,0,0,                                                  ,IN_CATALOG                                        ,                                                  
TIME                                              ,1,4,0,                                                  ,CERTAINTY                                         ,                                                  
SIC                                               ,5,0,0,                                                  ,                                                  ,                                                  
DAY                                               ,1,4,0,                                                  ,                                                  ,                                                  
POLITICALAFFILIATION                              ,1,4,1,Political Affiliation                             ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
FOREIGN                                           ,1,4,0,                                                  ,REG                                               ,                                                  
STYLED                                            ,2,0,0,Styled (for courtesy titles)                      ,REG                                               ,                                                  
DATE                                              ,2,0,0,Date                                              ,CERTAINTY                                         ,                                                  
SCHOOL                                            ,2,0,1,School                                            ,INSTITUTIONLEVEL                                  ,Institution Level                                 
PARCHIVALLOCATION                                 ,1,4,1,Archival Location                                 ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,4,0,Chronology Structure                              ,RESP                                              ,                                                  
SELFCONSTRUCTED                                   ,2,0,1,Self Constructed Name                             ,                                                  ,                                                  
YEAR                                              ,0,0,0,                                                  ,VALUE                                             ,                                                  
REMUNERATION                                      ,2,0,0,Remuneration (non-literary)                       ,CURRENCYTYPE                                      ,Currency Type                                     
DATE_OF_ORIGINAL_PUBLICATION                      ,5,0,0,                                                  ,REG                                               ,                                                  
YEAR                                              ,1,4,0,                                                  ,CERTAINTY                                         ,                                                  
ORGNAME                                           ,1,4,1,Organization Name                                 ,                                                  ,                                                  
CHILDREN                                          ,2,0,1,Children                                          ,NUMBER                                            ,Number                                            
FOREIGN                                           ,1,5,0,                                                  ,LANG                                              ,                                                  
RFICTIONALIZATION                                 ,0,0,1,Fictionalization                                  ,                                                  ,                                                  
BIBCIT                                            ,1,5,1,Bibliographic Citation                            ,                                                  ,                                                  
KEYWORDCLASSES                                    ,1,5,0,                                                  ,                                                  ,                                                  
INDEXED                                           ,2,0,0,Indexed Form of Name                              ,REG                                               ,                                                  
SEASON                                            ,1,4,0,                                                  ,VALUE                                             ,                                                  
TEXT                                              ,1,4,1,Text (formative)                                  ,                                                  ,                                                  
SHORTPROSE                                        ,2,0,0,                                                  ,                                                  ,                                                  
PLITERARYSCHOOLS                                  ,1,4,0,Literary Schools                                  ,REG                                               ,                                                  
SEASON                                            ,0,0,0,                                                  ,REG                                               ,                                                  
CHRONSTRUCT                                       ,1,5,0,Chronology Structure                              ,CHRONCOLUMN2                                      ,ChronologyColumn2                                 
POLITICALAFFILIATION                              ,2,0,1,Political Affiliation                             ,INVOLVEMENT                                       ,Involvement                                       
DATE                                              ,0,0,0,Date                                              ,VALUE                                             ,                                                  
INSTRUCTOR                                        ,1,4,1,Instructor                                        ,                                                  ,                                                  
ORGNAME                                           ,1,4,0,Organization Name                                 ,ORGTYPE                                           ,                                                  
FOREIGN                                           ,0,0,0,                                                  ,LANG                                              ,                                                  
BIBCIT                                            ,0,0,1,Bibliographic Citation                            ,                                                  ,                                                  
PUBLICATIONSTMT                                   ,0,0,0,                                                  ,                                                  ,                                                  
DOCTITLE                                          ,0,0,0,                                                  ,                                                  ,                                                  
SEXUALIDENTITY                                    ,1,4,1,Sexual Identity                                   ,SELF-DEFINED                                      ,Self-Defined                                      
CORR                                              ,2,0,0,                                                  ,                                                  ,                                                  
P                                                 ,1,5,0,                                                  ,                                                  ,                                                  
NATIONALITY                                       ,2,0,1,Nationality                                       ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
ADDRESS                                           ,0,0,1,Address (within place)                            ,                                                  ,                                                  
PLACE_OF_PUBLICATION                              ,5,0,0,                                                  ,REG                                               ,                                                  
CHRONSTRUCT                                       ,0,0,0,Chronology Structure                              ,CHRONCOLUMN2                                      ,Chronology Column2                                
MONTH                                             ,1,5,0,                                                  ,CERTAINTY                                         ,                                                  
REGION                                            ,2,0,0,"Region (county, province, etc.)                   ",CURRENT                                           ,                                                  
KEYWORDCLASS                                      ,1,4,0,Keyword                                           ,                                                  ,                                                  
AUTHOR_ROLE                                       ,5,0,0,                                                  ,A_ID                                              ,                                                  
RESEARCHNOTE                                      ,1,5,0,                                                  ,                                                  ,                                                  
RS                                                ,2,0,1,Rs (names of vehicles)                            ,                                                  ,                                                  
PMODEOFPUBLICATION                                ,0,0,1,Mode of Publication                               ,                                                  ,                                                  
PNONSURVIVAL                                      ,0,0,1,Non Survival (of text)                            ,TYPEOFNONSURVIVAL                                 ,Type Of Non Survival                              
PNONBOOKMEDIA                                     ,1,4,1,Non Book Media                                    ,                                                  ,                                                  
RPENALTIES                                        ,0,0,1,Penalties (for writing)                           ,CENSORSHIP                                        ,Censorship                                        
FOREIGN                                           ,1,5,0,                                                  ,                                                  ,                                                  
MONTH                                             ,0,0,0,                                                  ,CERTAINTY                                         ,                                                  
ORGNAME                                           ,0,0,0,Organization Name                                 ,STANDARD                                          ,                                                  
DAY                                               ,0,0,0,                                                  ,                                                  ,                                                  
PROFESSIONALTITLE                                 ,2,0,0,Professional Title                                ,                                                  ,                                                  
SIC                                               ,2,0,0,                                                  ,CORR                                              ,                                                  
BIBCIT                                            ,1,4,1,Bibliographic Citation                            ,                                                  ,                                                  
BIBLIOGRAPHY_ENTRY                                ,5,0,0,                                                  ,BI_ID                                             ,                                                  
CHRONSTRUCT                                       ,0,0,0,Chronology Structure                              ,RELEVANCE3                                        ,Relevance3                                        
RBESTKNOWNWORK                                    ,0,0,1,Best Known Work                                   ,                                                  ,                                                  
NICKNAME                                          ,2,0,1,Nickname                                          ,NAMESIGNIFIER                                     ,Name Signifier                                    
NATIONALITY                                       ,2,0,0,Nationality                                       ,HISTORICALTERMCONTEXTDATE                         ,Historical Term Context Date                      
DATERANGE                                         ,2,0,0,                                                  ,TO                                                ,                                                  
DIV1                                              ,2,0,0,                                                  ,                                                  ,                                                  
P                                                 ,1,4,0,                                                  ,                                                  ,                                                  
PPLACEOFPUBLICATION                               ,0,0,1,Place of Publication                              ,                                                  ,                                                  
PLACE_OF_PUBLICATION                              ,5,0,0,                                                  ,                                                  ,                                                  
SHORTPROSE                                        ,1,5,0,                                                  ,                                                  ,                                                  
TGENRE                                            ,0,0,1,Genre                                             ,                                                  ,                                                  
MARRIED                                           ,2,0,0,Married Name                                      ,REG                                               ,                                                  
REMUNERATION                                      ,1,4,0,Remuneration (non-literary)                       ,CURRENCYCONTEXT                                   ,Currency Context                                  
DATERANGE                                         ,1,5,0,                                                  ,TO                                                ,                                                  
INDEXED                                           ,2,0,1,Indexed Form of Name                              ,INDEXSOURCE                                       ,Index Source                                      
